tweeted_at,text,clean_text,favorite_count,date
2022-03-29 23:36:41.000,精神の安定のために今日はヤクルト1000を2本飲んじゃいます,精神の安定のために今日はヤクルト1000を2本飲んじゃいます,7,2022-03-29
2022-10-21 23:21:01.000,@himeno_Teaser そんなひめのちゃんにヤクルト1000を差し入れしたいᐡ ߹𖥦߹ ᐡ,そんなひめのちゃんにヤクルト1000を差し入れしたいᐡ߹𖥦߹ᐡ,1,2022-10-21
2022-10-22 19:24:57.000,"ファーr（ヤクルト1000美味しかったな…）、
フェアー！！！",ファーrヤクルト1000美味しかったなフェアー,0,2022-10-22
2022-06-03 11:50:56.000,"昨夜はヤクルト1000を飲んでみました。
デエビゴを飲まずに眠くなりましたが、ワクワクし過ぎたせいか(子供か😆)眠れず結局デエビゴを飲み就寝。夢も見なかったです😅",昨夜はヤクルト1000を飲んでみました。デエビゴを飲まずに眠くなりましたがワクワクし過ぎたせいか子供か眠れず結局デエビゴを飲み就寝。夢も見なかったです,3,2022-06-03
2022-09-04 02:20:45.000,寝付きは、ヤクルト1000の効果にはなかったか。飲んだ日は悪夢だったな。寝起きはたしかにスッキリ起きられた。,寝付きはヤクルト1000の効果にはなかったか。飲んだ日は悪夢だったな。寝起きはたしかにスッキリ起きられた。,1,2022-09-04
2022-03-31 16:47:59.000,"ヤクルト1000を始めてから2週間が経過

①メンタル由来で崩していた腹の調子は明らかによくなった（繁忙期に締切の日付見ただけでおなかが下りまくって仕事に集中できないくらいだったのが、平坦な気持ちになり腹も下らなくなった）
②明晰夢を頻繁に見るようになった",ヤクルト1000を始めてから2週間が経過①メンタル由来で崩していた腹の調子は明らかによくなった繁忙期に締切の日付見ただけでおなかが下りまくって仕事に集中できないくらいだったのが平坦な気持ちになり腹も下らなくなった②明晰夢を頻繁に見るようになった,11,2022-03-31
2022-01-17 22:25:30.000,たっちレディオの影響で2021年のこれ買った大賞を考えてみたんだけど、間違いなくヤクルト1000。仕事とかでむちゃくちゃイライラしてる上に寝付けなさそうな日に飲んで寝て起きたら、寝起きは良いしストレス軽減！ヤクルト1000に加えて、蒸気でグッドナイト貼って寝れば熟睡。完璧！,たっちレディオの影響で2021年のこれ買った大賞を考えてみたんだけど間違いなくヤクルト1000。仕事とかでむちゃくちゃイライラしてる上に寝付けなさそうな日に飲んで寝て起きたら寝起きは良いしストレス軽減ヤクルト1000に加えて蒸気でグッドナイト貼って寝れば熟睡。完璧,0,2022-01-17
2022-10-20 14:29:19.000,"吉田正尚新幹線でヤクルト1000飲んでいらっしゃる
オリ戦士今日東京入りなのね",吉田正尚新幹線でヤクルト1000飲んでいらっしゃるオリ戦士今日東京入りなのね,24,2022-10-20
2022-07-11 14:17:36.000,ここんとこ飲み忘れてたヤクルト1000を2本とコストコで買ったオイコス3個ずつ消費してるんだけど毎日下痢,ここんとこ飲み忘れてたヤクルト1000を2本とコストコで買ったオイコス3個ずつ消費してるんだけど毎日下痢,67,2022-07-11
2021-11-28 07:44:36.000,少し前からヤクルト1000を飲み始めた甲斐があった（,少し前からヤクルト1000を飲み始めた甲斐があった,0,2021-11-28
